,Delta_C1,Delta_C2,Delta_C3,Delta_C4
88,182388.8656778953,466589.4237187968,497510.3061651218,488646.1193788259
89,136824.67298660765,361840.9836928015,359162.1579423925,346242.5462057691
90,188130.1271686734,503333.1104372861,492171.987296721,476011.54508306977
91,173803.62918424798,541633.8666368693,385476.0963970352,383345.56641031126
92,195026.37390009864,518883.1723300751,480125.2971800788,476592.2500093677
93,155625.4865716857,378585.9386425679,453453.3996847767,412043.18171388016
94,219874.5637987458,516829.4594531431,547627.8869395178,537094.3654902398
95,223452.8694741881,530237.5403613229,538085.2012930701,525338.2071033462
96,229095.7039581148,538041.6481277455,547466.1296098848,543274.2450691562
97,176098.8140343889,413627.4994586214,411320.3789786191,408618.7684455697
98,185196.7133758223,414497.8769026415,431876.0036880744,424135.7934562484
99,249520.11365943315,563601.2598218384,560225.3281963418,545610.3177604076
100,254431.35344991315,578067.939967972,574604.0568687054,591347.5489803395
101,194947.323267757,440634.2157625853,452698.4834505452,440051.26882322977
102,264940.5565466456,609126.4570623719,621394.1607646635,632724.0581993749
105,35077.681551731424,28677.4676591981,287024.981328283,284860.4139724682
106,16424.984220037495,20492.807978321536,18633.68450483392,18089.33987977693
107,13540.603582494792,21398.31747022457,23711.608509345708,21515.66238790236
108,12351.149320447144,23355.36519724595,22836.223672579385,24974.229420327018
109,10529.309436644788,24463.95382640773,25388.48870522515,26507.093633597822
110,9155.619691366084,26266.76933440196,28253.60302832184,29117.799246152445
111,7660.977323746903,27538.36160526223,28458.171578666424,26871.111481440228
112,6844.506705306745,29560.80020109396,27793.23941744599,26367.590573877525
113,54744.21669158205,57570.74569753237,603833.5228543757,494485.6908061151
114,30639.336950857512,59240.92552835492,258853.66147188013,194342.0310543959
115,3564.296543309451,34436.54050455148,33357.961385667906,29037.539175938964
116,3705.274415037144,40412.46109736143,38118.737853277205,39954.63223184248
117,2233.577248454362,40506.43315470036,44586.74178312649,42640.281822420686
118,1926.1744510772744,44012.4784247948,46536.1227128008,49824.08544961312
119,1125.3455289759577,44972.23930778914,48660.39799750933,43865.70094104156
120,936.5402804707396,48602.84735192593,54656.56418666558,57776.3412838215
121,619.824469228226,52089.009629172426,57120.67102211986,57663.02430094712
122,616.6427996123639,56547.76110905986,56440.55466693197,52472.623159772535
123,208.99938740952007,57109.22933522704,67100.30661807115,55100.57928710053
124,44.71899064187596,59526.08887968031,63874.18585915936,61568.57849724783
125,36.09902979459164,64922.23482528272,60588.2962410299,60315.82468146524
126,41.90136051618529,68849.00580034828,66769.94145283893,66441.10335104569
127,185.08477518500223,70576.0695169015,71307.70250578539,68402.42967393046
128,4764.032940372245,76850.85532166144,156018.12829119156,125786.77508272532
129,885.8556974915547,76359.8820449266,86984.03429135385,83109.19433124176
130,2608.007168259697,80851.4361083452,101502.46591440174,94629.2984839622
131,1489.7044345153035,85676.07629144978,101147.37500077764,99871.52372540507
132,1920.639454417328,89039.1949511631,95487.04196012126,91933.18918328096
133,5352.394773595528,79945.24708333636,102401.71544641798,80448.31040740726
138,314888.02080766065,305182.50271407125,879520.3686216616,763532.038531885
140,30013.52374310715,138046.50319722807,573341.8351987699,430071.7899492724
142,48576.64287420823,175085.9800596405,768199.1929841489,502350.69813719526
143,32609.65193508672,104948.41219301333,339717.342068204,270160.63081876346
144,15147.063798113482,140317.63665827067,162679.3089880306,151817.75903385255
145,14400.773856234557,108007.02782683332,157456.657472884,144421.65361593655
146,16874.438529685543,152166.6782379128,168372.1325827902,166255.97316418227
147,18890.828546615867,156990.06051380478,170270.73555002653,168636.04373154722
148,20995.90449946294,112225.66572354958,203129.80034375432,192679.8629979452
149,21250.44514066612,170528.23289453608,177673.16585122785,176447.31395139708
150,22550.779245854454,178460.58085476456,172134.05482199215,170621.19316010256
151,26266.598365532456,178165.97774404037,196677.31083177516,192068.522144136
152,27361.325316455797,186026.03560447533,187360.02813728177,184062.19900105047
153,22680.84523003784,143041.86456819868,148933.71504739497,147991.7221935599
154,33307.60096023878,194087.8817900118,198561.54016592423,192613.62736992212
155,33842.55084017249,203866.6282625237,199839.7929517394,197465.4328936053
156,37887.67822685402,205846.65136017356,213450.06742028127,202835.76402031528
157,34300.92879042859,159375.058429128,211464.47400206185,196476.1117170753
158,33041.45308467573,167456.5600265559,186143.9403134313,179301.46424232694
159,46696.63145066446,221177.47919191804,229133.15242719356,223776.10309913364
160,25223.821376374308,203362.78980024488,120375.52001998512,131745.1686037478
161,54711.118531408174,232180.61374039896,272317.2374878823,255476.50995574315
162,55684.98530118365,239534.33805121452,249438.98007949255,236686.2519520164
163,59170.83344369946,267871.4046765567,399102.9096156963,365322.47501639934
