,Delta_C1,Delta_C2,Delta_C3,Delta_C4
105,47680.24825625296,50685.81248027622,26632.6593841133,28461.504032837154
106,39658.28586633136,40110.73753668829,33290.47182551943,28134.4524452054
107,27676.993541456464,28314.940746767807,29601.151140812915,44882.20112200045
108,29128.86492609744,29945.828936471426,30812.87672045564,37223.40469943816
109,74966.89071264553,78268.27685716932,42932.83085723019,82383.46220760992
110,34583.067257093644,34147.35123059287,34415.91827380448,39413.94476215985
111,46368.63833124366,46696.51050553852,46232.75440987031,53207.31164429499
112,185602.44286247977,196963.4330113039,44352.687646655664,41746.144397481934
113,52806.99347256871,53590.582916532425,53284.22511244303,58067.36298414689
114,101266.28138709672,106536.83333139378,48386.2484263204,94193.36320664632
115,227546.9800819662,241907.68986239485,69965.38640555221,46757.09093792427
116,41310.63003139014,41256.8503336252,45523.22779135911,64681.4422228445
117,52208.15318279828,51503.96841169447,51856.3335049394,66715.01845166575
118,55938.75723414951,57203.4262000151,52903.38021081654,59292.09533723762
119,56866.57253318022,58596.772678647525,61399.72946311411,59922.245892564
120,60487.30740895728,64036.72628008976,66157.59623434568,62984.87229279314
121,64452.40316854606,66928.55123641281,66258.97196174412,66263.43359608825
122,86196.27649045693,86733.01479369847,85204.74120145336,81863.69044813032
123,71194.23220230169,71648.14071188032,70623.27982457027,66929.29339927745
124,78119.21281958024,77863.89313730517,75483.39329055011,148008.8632787804
125,88002.06908442877,89679.40667801477,80010.75261327793,45476.73431389334
127,86772.1189894788,89105.60299589604,82528.28887307685,100863.0367742118
128,86948.97514717391,86766.52918265002,85524.31700382165,99196.479144545
129,91811.95010741778,91702.40985549316,92531.52839158228,103128.54130941682
130,234493.09688904777,249380.80840693624,76504.79386834078,83772.75253876936
131,271035.07636520447,281996.78914676496,107703.6473934709,129106.6431716534
134,134497.62490512617,137292.7167051259,106505.96571870896,122744.60509448063
135,112525.60604402788,114331.92092811086,104716.11462466777,131790.96453979038
136,338308.4869685831,355549.99977227405,121574.02734594456,136503.44039594973
137,248183.96351907888,254760.9619667643,129919.1676558372,152873.6404014676
138,142878.6114711755,143532.65012609985,135655.8077570545,119062.422616354
139,135941.1536686026,136696.98770020457,138445.7080298708,131930.30861985404
140,133664.95327463732,133342.36675807554,136027.03428169206,179135.78339743914
141,172567.53352001077,174503.2323656666,146648.04852633408,127777.95522384292
142,211279.34122402972,216963.3910823288,164565.52210149416,183837.9644903053
143,192566.5046625021,200374.21774586907,145530.67141526446,279699.612238135
144,167522.44107935016,167812.91597955313,159240.1231954543,123727.99684502784
145,210354.26772791185,213832.52858687015,163858.29711276325,164906.31339452782
146,158425.98243029095,160471.08980803934,145364.5691836999,291321.45859913976
147,218231.52660180052,220562.43514250443,183787.1720374532,382764.7825842152
148,193533.473995401,193760.9878023837,169214.66790992138,171391.45826386282
150,203075.42338843923,205644.11494603087,213368.75160971945,104823.64898270316
151,197382.3543229898,199969.7325397285,202734.04244672105,227643.8413971584
152,201166.1265286539,201376.70320656156,205813.4097326805,208091.432656625
153,205421.66010054853,206320.6265240422,209309.65141630545,260738.6893475477
154,215860.3219127976,217333.43772464135,215230.03964704825,238775.50293818576
155,185094.23840287488,185410.45299414388,183660.55206605408,178930.00876667583
156,226633.01173619568,227461.0649080421,226360.6500680832,237348.11197679944
157,236502.3956857895,236349.32429423567,231843.34151558956,329169.433972949
158,230836.35191770457,230368.7343612663,236472.32386629685,283325.69452775724
159,256761.1316503408,257938.7078269196,248003.18458946416,217248.8714202495
162,692.6709420218494,725.703965196979,151.43279953045123,708.7851774934048
163,368.279186263278,423.45580159955466,181.0658852308043,429.3272042462554
164,1132.7477314972205,1224.7629443717988,1101.7593067363389,7674.144072097631
165,48553.005534669166,52344.38225412232,8853.67707268775,185708.2708349452
166,44212.8941866954,47340.75916058868,4544.44692395502,28985.915234688688
167,1469.282648016875,1563.0826883342615,1481.4745918638266,10968.57552441351
168,4068.165532084763,4298.719551662347,1966.646901258476,8947.1580324832
169,7573.213718618076,8120.018828936406,3348.9097265886244,131528.36604828958
170,85812.39678875731,91767.6991345645,26113.703556447024,31164.51886247036
171,10461.466982299218,10614.897558677423,4705.25075626832,25696.184269260437
172,5900.810941226254,6205.2317200826055,6060.50120268612,8892.10653343637
173,13689.753258688374,14342.367033406314,6974.842727250504,14510.926752891271
174,6474.936219855065,6285.438072631079,6739.670051397354,10273.728949058128
175,11209.822734915751,10930.598355147094,10500.693409652626,18032.12157955294
176,87814.543678698,94398.37757569592,48082.66010261231,167426.13881368405
177,105227.26700037815,113333.88686048148,45514.85688586494,157498.25895168743
179,13365.016304478211,13479.569563129551,9118.35677578072,71056.29250602487
180,20584.219280356592,20818.43372014473,20473.130630211177,29678.13527277845
182,10461.372864087643,10107.426774558056,12788.992886490172,217343.43948730445
183,20699.1196240993,20698.714694077014,14005.9794692387,24969.3193367448
184,20534.280968147606,20624.898653609776,31720.454693995205,33439.6995724472
186,85888.83945100982,90632.27777596025,56748.94429462173,66609.10798398432
187,67673.17006559299,70231.48203150772,39762.40817951536,127232.4579636037
188,68054.22556344779,70531.52735230369,39189.072887563416,55252.27261845574
189,32928.03801397912,33078.51875423579,30355.936483826063,33711.58879055615
190,43396.71574523867,43478.42028561206,40799.67963382536,43384.97129266554
191,32971.914718029155,33006.14273742223,142750.62128180978,43720.30362716661
194,36815.89913782877,35872.92957991512,30169.4017606069,48034.88216943421
195,64570.669560489645,67196.80122009962,43210.59827704342,54989.122365105766
196,52457.84968915819,52279.89897811422,49691.094242029496,47329.64624344963
197,44872.28571966373,44555.126156456114,42168.33441063762,42034.62390628526
198,56544.05514207696,55997.89381868605,54765.10691015727,54793.02314313081
199,62994.1459500009,62761.51748660516,61052.44419612536,60858.34764029748
200,53428.57694171197,53039.192303413474,51730.67165621989,37345.62234430347
201,67433.10713491001,67095.23228703781,67634.62502498867,68914.98754493048
202,69382.00409701589,68604.65334472942,69573.84961617754,71992.22086884012
203,75843.5619978845,75855.66191995831,75311.75511494357,76201.08202626211
204,77180.95411614986,76882.03601254112,77929.36865950578,81492.97086702481
205,114403.77286926936,117786.09845074375,90905.30691464212,94255.68021567805
206,69334.99785001883,69052.1538137752,70930.9460338354,70631.71302271474
207,110042.33950914595,109220.46772441977,112303.23792698963,109947.24360956972
208,112915.68083577669,113710.22148833306,98013.10908428916,128799.52239686702
209,146545.9497286929,152622.02056657022,95636.38476093776,142564.36175893262
211,127455.99271356768,127221.5703524124,121577.01294326106,152202.56550754356
212,90375.87488341868,90473.79186159757,88872.60805157507,81906.59560739786
213,113835.65028354838,113213.29005997446,113170.78780403025,118168.41259178754
214,132334.79662320286,133667.37810726548,122870.26838869098,160636.12951300637
215,42763.54740972576,41047.23075722542,77361.56773567367,47593.25958941437
216,113348.49626994226,112468.23429035416,123438.15840434714,129820.8616892188
217,134261.1960062879,131796.16335514918,133300.59204168644,131468.042383624
218,110526.34301312784,110260.51514921716,112410.7468616135,135157.42513785852
219,143434.82350109922,144233.48488576032,143504.49955964927,138955.18688950257
220,143876.67298083226,144339.11842657108,146281.36220882242,150565.49877184583
221,186263.70601266032,186923.6171642561,188627.155887933,198572.0745525536
222,191490.22371168443,191964.1094886935,192159.22641731112,199929.77322586524
223,158704.3373751476,158458.87737058706,160798.88829095117,164964.1207780544
224,138575.06031249877,138714.13919682114,137983.31976618263,139660.9536714218
225,169277.06013379403,169176.1350575905,170589.51977284736,168366.1833080533
226,175315.33026527386,174956.42276679887,173527.86957335158,172434.5105458211
227,151703.15852309993,150791.79867729708,157739.84606218516,234438.2663153168
228,184988.39829208396,184239.79986828243,188164.10015769547,194825.1969236983
229,198115.6158139897,196458.8017398492,194792.2821362864,337058.68202669104
233,208247.7761987755,207614.57289898745,204107.61164541272,275393.83032760455
235,229167.24720673377,211217.0136578485,236750.97138926823,311129.5443124163
236,226789.17041255592,229763.8768048485,236229.71139033957,275650.33086472645
237,229372.84099047488,232130.6456621228,235839.23971523347,246409.7084167719
238,246723.1960851663,248989.43796301828,247777.65486323432,238347.0174352789
239,247996.36725042172,248777.2632443165,249088.45059633668,245367.02076147127
241,400.5241094672498,466.0407615836224,96.42532494543345,657.4595878416619
242,39071.74652835351,43419.68522380162,7425.029425980614,361168.7808343189
243,31898.16105088345,34521.146358027094,5652.030914734455,36288.322706907806
244,2322.735141414126,2347.9398653367016,2544.3769282792705,28790.220478380597
245,1665.0942544867614,1835.8125211460688,909.7486635810974,25591.811674238525
246,29047.903702166863,31428.60658661265,5917.601898990622,56732.871336944765
247,9634.168748809763,9527.76155662915,93851.27981845372,11776.02054531231
248,13430.207207222056,16177.73064655411,6717.136884014553,47552.02801266284
249,2151.0183945611225,2331.434353183695,1708.5656225422035,23166.522754588103
250,13027.20027747794,13921.449133861632,103068.69880455564,177403.7073784052
251,4817.425510303172,5658.118923270528,23121.110638265025,5153.661022694622
252,3531.457528859491,3579.075432410148,10205.457548562876,15221.1608897771
253,7154.707193116619,7722.405769685152,8976.782350608175,11590.54300105122
254,7292.459672293706,7428.295414124836,9093.965168630091,20610.519891888205
255,8651.387839418903,8742.760236509175,10177.06264190674,27915.87144879593
256,39344.71083158818,41751.45606926156,26698.84993745793,23834.120679432628
