Datetime,valueIBI
2024-10-10 14:42:10.624010,0.7031574
2024-10-10 14:42:11.389670,0.7656605
2024-10-10 14:42:12.155330,0.7656605
2024-10-10 14:42:12.889740,0.7344089
2024-10-10 14:42:13.561650,0.6719062
2024-10-10 14:42:14.217930,0.6562803
2024-10-10 14:42:14.936710,0.7187833
2024-10-10 14:42:15.686740,0.7500348
2024-10-10 14:42:16.483660,0.7969117
2024-10-10 14:42:25.077800,0.6875319
2024-10-10 14:42:25.796590,0.7187833
2024-10-10 14:42:26.515370,0.7187831
2024-10-10 14:42:27.296660,0.7812862
2024-10-10 14:42:27.999810,0.7031577
2024-10-10 14:42:28.656090,0.6562803
2024-10-10 14:42:29.312370,0.6562803
2024-10-10 14:42:30.031160,0.7187833
2024-10-10 14:42:30.828070,0.796912
2024-10-10 14:42:31.656230,0.8281634
2024-10-10 14:42:32.359390,0.7031574
2024-10-10 14:42:33.031300,0.6719062
2024-10-10 14:42:33.734450,0.7031574
2024-10-10 14:42:34.546990,0.8125377
2024-10-10 14:42:35.343900,0.796912
2024-10-10 14:42:36.062690,0.7187833
2024-10-10 14:42:36.718970,0.6562803
2024-10-10 14:42:37.406500,0.6875319
2024-10-10 14:42:38.125280,0.7187831
2024-10-10 14:42:38.890940,0.7656605
2024-10-10 14:42:56.485510,0.8125377
2024-10-10 14:42:57.313670,0.8281634
2024-10-10 14:42:58.016830,0.7031574
2024-10-10 14:42:58.688740,0.6719062
2024-10-10 14:42:59.423140,0.7344089
2024-10-10 14:43:00.220060,0.796912
2024-10-10 14:43:01.016970,0.796912
2024-10-10 14:43:01.767000,0.7500348
2024-10-10 14:43:02.454530,0.6875317
2024-10-10 14:43:03.157690,0.7031577
2024-10-10 14:43:03.907730,0.7500348
2024-10-10 14:43:04.689010,0.781286
2024-10-10 14:43:05.439050,0.7500348
2024-10-10 14:43:06.126580,0.6875319
2024-10-10 14:43:06.782860,0.6562803
2024-10-10 14:43:07.470390,0.6875319
2024-10-10 14:43:08.189170,0.7187831
2024-10-10 14:43:09.001710,0.8125377
2024-10-10 14:43:09.720500,0.7187833
2024-10-10 14:43:10.392400,0.671906
2024-10-10 14:43:11.111190,0.7187833
2024-10-10 14:43:11.845590,0.7344091
2024-10-10 14:43:12.626880,0.781286
2024-10-10 14:43:13.392540,0.7656605
2024-10-10 14:43:14.080070,0.6875319
2024-10-10 14:43:14.767600,0.6875317
2024-10-10 14:43:15.470760,0.7031577
2024-10-10 14:43:16.205170,0.7344089
2024-10-10 14:43:16.955210,0.7500348
2024-10-10 14:43:17.627110,0.6719062
2024-10-10 14:43:18.236520,0.6094031
2024-10-10 14:43:18.892800,0.6562803
2024-10-10 14:43:19.533450,0.6406548
2024-10-10 14:43:20.142850,0.6094031
2024-10-10 14:43:20.814760,0.6719062
2024-10-10 14:43:21.580420,0.7656605
2024-10-10 14:43:22.267950,0.6875317
2024-10-10 14:43:22.939860,0.6719062
2024-10-10 14:43:23.658640,0.7187831
2024-10-10 14:43:40.534420,0.8594148
2024-10-10 14:43:41.409460,0.8750405
2024-10-10 14:43:42.143870,0.7344091
2024-10-10 14:43:42.831400,0.6875319
2024-10-10 14:43:43.534560,0.7031574
2024-10-10 14:43:44.300220,0.7656605
2024-10-10 14:43:45.065880,0.7656605
2024-10-10 14:43:45.769040,0.7031574
2024-10-10 14:43:46.472200,0.7031577
2024-10-10 14:43:47.175360,0.7031574
2024-10-10 14:43:59.722810,0.796912
2024-10-10 14:44:00.504100,0.781286
2024-10-10 14:44:01.222880,0.7187833
2024-10-10 14:44:01.910410,0.6875319
2024-10-10 14:44:02.707320,0.7969117
2024-10-10 14:44:03.535490,0.8281634
2024-10-10 14:44:04.363650,0.8281634
2024-10-10 14:44:05.098060,0.7344091
2024-10-10 14:44:05.754340,0.6562803
2024-10-10 14:44:06.457500,0.7031577
2024-10-10 14:44:07.191910,0.7344091
2024-10-10 14:44:08.020070,0.8281631
2024-10-10 14:44:08.832610,0.8125377
2024-10-10 14:44:09.551390,0.7187833
2024-10-10 14:44:10.363930,0.8125377
2024-10-10 14:44:11.270220,0.9062919
2024-10-10 14:44:12.129640,0.8594148
2024-10-10 14:44:12.879670,0.7500346
2024-10-10 14:44:13.614080,0.7344091
2024-10-10 14:44:14.379740,0.7656605
2024-10-10 14:44:15.161030,0.7812862
2024-10-10 14:44:15.879810,0.7187831
2024-10-10 14:44:16.536090,0.6562805
2024-10-10 14:44:17.208000,0.671906
2024-10-10 14:44:17.864280,0.6562805
2024-10-10 14:44:21.723830,0.671906
2024-10-10 14:44:22.458240,0.7344091
2024-10-10 14:44:23.255150,0.796912
2024-10-10 14:44:24.052060,0.796912
2024-10-10 14:44:24.770850,0.7187831
2024-10-10 14:44:25.442750,0.6719062
2024-10-10 14:44:26.161540,0.7187831
2024-10-10 14:44:26.942820,0.7812862
2024-10-10 14:44:27.677230,0.7344091
2024-10-10 14:44:28.349140,0.671906
2024-10-10 14:44:29.005420,0.6562805
2024-10-10 14:44:29.708580,0.7031574
2024-10-10 14:44:30.458610,0.7500348
2024-10-10 14:44:31.239900,0.7812862
2024-10-10 14:44:31.943050,0.7031574
2024-10-10 14:44:32.614960,0.6719062
2024-10-10 14:44:33.364990,0.7500348
2024-10-10 14:44:34.146280,0.781286
2024-10-10 14:44:34.943190,0.796912
2024-10-10 14:44:35.661980,0.7187833
2024-10-10 14:44:36.365130,0.7031574
2024-10-10 14:44:37.162050,0.796912
2024-10-10 14:44:37.958960,0.796912
2024-10-10 14:44:38.708990,0.7500348
