,Delta_C1,Delta_C2,Delta_C3,Delta_C4
179,29445.11250210884,22638.73838091352,23221.77685958919,20856.23195444248
180,29497.013887890447,31028.26025290772,30852.67328495221,33140.61803259446
181,27090.80680321799,31913.63774215744,27656.23139641443,31608.08247239143
182,33577.515668932974,33346.41402627424,31885.916399504404,29628.833258733383
183,68166.17956471152,104905.31754264784,40319.140014802906,99784.5839483752
184,40709.66906294539,41714.00234050747,35985.22548497803,39088.92461152669
185,43849.944487880006,40792.12837213218,38394.6819014203,38569.596017200056
186,49830.92686310039,51638.47657311034,43757.05746603953,49055.06831961392
187,58564.36310265593,33448.04936372709,42301.221921018776,32472.966872892845
188,44464.43913854128,50579.49726987632,46933.369734716856,48726.51350575965
189,85268.58725161481,73947.48231497928,49383.544480232005,70400.59302323563
190,47602.663810987055,60188.76221655457,53684.63329508496,57535.79520022209
191,65801.04642179339,54343.74686770219,54114.40530643328,51688.02674029496
192,57512.01560816368,61416.5636598821,59750.70295632645,59033.99010271478
193,63928.63593397464,61320.879677733166,61284.34564007277,59732.37876132117
194,85970.79518670308,89735.25166087279,63647.63436726383,80468.5783826453
197,103294.80706453904,87690.93953808953,75179.64177100862,81397.99893855421
198,81186.38228742892,83047.38698577695,81772.43345202804,79683.02802703301
199,75387.82118192485,69624.93928489323,71391.90167753676,66489.81615285554
200,84447.00423544932,80167.82276488081,73425.76799889939,78821.63609355167
201,92389.23870751794,94601.7546322804,92895.13522008782,92235.52179805428
202,95598.54972558244,98782.4042939918,100828.06194036594,96764.94211868444
203,96883.20875938948,107932.54985017989,103494.73807409906,106057.49990004742
204,109093.05264861304,123209.81575392144,108771.94351690804,118646.15952174133
205,111335.84280992644,101201.43093462788,111620.82067125603,107541.37250193594
206,115872.28290559804,107347.3017032568,114076.94995556606,112127.22138347682
207,119000.5690345116,119768.16659684856,119452.85716114736,118034.59812780436
208,123635.2196498294,123958.41586109868,123204.14452253892,122657.9568627897
209,128514.54947482629,127891.16281056152,127806.92623227784,126870.7885926122
210,131510.2226038035,134646.0175811296,133069.53792256006,133734.04845671463
211,136817.05823042573,138714.31856654616,137278.94955497162,137777.31326932987
212,143600.5860812267,140984.83775356988,141862.707759906,140757.11538174204
213,147259.14526555556,148993.50481794297,145823.255008603,147765.99178021165
214,149082.0050046055,156853.2408816279,156308.6398452707,155009.3091493793
215,151207.26705417497,164477.58696884708,161472.35110513898,163613.21184072495
216,133881.08020071592,139544.59735436618,137800.82305057324,138161.32640949663
217,167002.45712201585,171735.37991156153,169104.0819302262,170653.97816562917
218,176599.07979001116,172585.9195546053,175595.2245839095,171768.7080635091
219,172180.9917965253,196000.8130432649,186038.94423924145,196810.9214557589
220,173100.0656358451,199814.9327498335,195754.8618300022,199885.23186241908
221,192174.61965233975,189779.45893579276,189744.4397764263,191451.5883810698
222,203518.3916663664,190200.54811141736,194572.496566552,190393.64865048815
223,203932.7405399989,201301.93156561104,201932.12807569923,201949.31176180407
224,213799.72290663145,203765.9579318472,198447.95968689845,204361.6415284344
225,214711.62936555524,215142.69149768903,219465.18340329852,215826.7497472575
226,222949.55512917423,219433.6843975966,223884.28348354367,219660.0607642594
227,228784.56031443944,225872.91283118204,230317.5668676188,225947.5225116464
228,246906.62600711125,269510.0369598835,230005.9411441949,269645.8320393916
229,247618.82531572084,237323.1896949355,226042.0726838917,237617.1326582752
230,248430.14870320685,245183.45089361057,249638.59396339237,246790.64285473505
231,254511.45325796056,253224.90806589415,255598.050414638,254272.82021135263
233,555.7750860313929,657.4747989145835,95.2796203387654,560.2943358802107
234,261.74980643601214,408.2498689717267,373.6068181793608,387.5497364407252
235,521.0388413696604,347.3273136676985,197.7029274465232,447.2693083835199
236,870.0480531112605,528.9562913418307,493.0546500966396,583.7146239413607
237,1420.143107516794,980.6320150535184,623.480178126317,1112.642477441023
238,1559.9981516805396,1777.733091262777,1480.7223359470142,1840.699802359689
239,2034.1940140735344,2198.8870568905227,2688.003651854969,2311.8926180702438
240,3051.0444113643102,2902.189142004135,3168.953836910683,2926.4693017606496
241,3261.841419615837,3884.325709153401,3865.8721290255694,3983.037249161735
242,16748.876173930577,33072.40449393905,5756.132865085194,25480.042117389334
243,5415.8040887609495,5450.230290239293,5252.406740271087,5494.611640341872
244,7736.444759717488,6765.386321416933,6142.42785750485,6861.859308946932
245,8420.126360808832,16857.256042489367,9053.335071001937,18640.13918999781
246,8082.5622352496575,8349.668045382388,7829.947077159573,8826.88593464687
