Datetime,valueACC
2024-10-09 13:06:51.722440,"[36, 0, 52]"
2024-10-09 13:06:51.753690,"[36, 0, 51]"
2024-10-09 13:06:51.784950,"[36, 1, 52]"
2024-10-09 13:06:51.816200,"[36, 0, 51]"
2024-10-09 13:06:51.847450,"[36, 1, 52]"
2024-10-09 13:06:51.878700,"[36, 1, 52]"
2024-10-09 13:06:51.909950,"[35, 2, 53]"
2024-10-09 13:06:51.941200,"[39, 2, 53]"
2024-10-09 13:06:51.972450,"[36, -1, 52]"
2024-10-09 13:06:52.003710,"[36, 0, 52]"
2024-10-09 13:06:52.034960,"[33, -2, 53]"
2024-10-09 13:06:52.066210,"[32, -1, 52]"
2024-10-09 13:06:52.097460,"[33, -2, 52]"
2024-10-09 13:06:52.128710,"[33, -2, 53]"
2024-10-09 13:06:52.159960,"[34, -2, 53]"
2024-10-09 13:06:52.191210,"[34, -2, 53]"
2024-10-09 13:06:52.222470,"[33, -2, 54]"
2024-10-09 13:06:52.253720,"[33, -2, 53]"
2024-10-09 13:06:52.284970,"[32, -2, 53]"
2024-10-09 13:06:52.316220,"[32, -3, 54]"
2024-10-09 13:06:52.347470,"[33, -2, 53]"
2024-10-09 13:06:52.378720,"[33, -3, 53]"
2024-10-09 13:06:52.409970,"[32, -3, 53]"
2024-10-09 13:06:52.441230,"[32, -3, 53]"
2024-10-09 13:06:52.472480,"[32, -3, 54]"
2024-10-09 13:06:52.503730,"[33, -3, 54]"
2024-10-09 13:06:52.534980,"[32, -3, 54]"
2024-10-09 13:06:52.566230,"[32, -3, 54]"
2024-10-09 13:06:52.597480,"[33, -3, 54]"
2024-10-09 13:06:52.628730,"[33, -3, 54]"
2024-10-09 13:06:52.659990,"[33, -3, 54]"
2024-10-09 13:06:52.691240,"[32, -3, 54]"
2024-10-09 13:06:52.722490,"[32, -3, 54]"
2024-10-09 13:06:52.753740,"[32, -3, 54]"
2024-10-09 13:06:52.784990,"[33, -3, 53]"
2024-10-09 13:06:52.816240,"[32, -3, 54]"
2024-10-09 13:06:52.847490,"[32, -3, 54]"
2024-10-09 13:06:52.878750,"[32, -3, 54]"
2024-10-09 13:06:52.910000,"[32, -3, 54]"
2024-10-09 13:06:52.941250,"[32, -3, 54]"
2024-10-09 13:06:52.972500,"[32, -3, 54]"
2024-10-09 13:06:53.003750,"[33, -3, 54]"
2024-10-09 13:06:53.035000,"[32, -3, 54]"
2024-10-09 13:06:53.066250,"[32, -3, 54]"
2024-10-09 13:06:53.097510,"[33, -3, 54]"
2024-10-09 13:06:53.128760,"[33, -3, 54]"
2024-10-09 13:06:53.160010,"[32, -3, 53]"
2024-10-09 13:06:53.191260,"[32, -3, 54]"
2024-10-09 13:06:53.222510,"[33, -3, 54]"
2024-10-09 13:06:53.253760,"[32, -3, 54]"
2024-10-09 13:06:53.285020,"[32, -3, 54]"
2024-10-09 13:06:53.316270,"[32, -3, 54]"
2024-10-09 13:06:53.347520,"[33, -3, 54]"
2024-10-09 13:06:53.378770,"[32, -3, 53]"
2024-10-09 13:06:53.410020,"[33, -3, 54]"
2024-10-09 13:06:53.441270,"[33, -3, 53]"
2024-10-09 13:06:53.472520,"[32, -3, 53]"
2024-10-09 13:06:53.503780,"[32, -3, 54]"
2024-10-09 13:06:53.535030,"[32, -3, 54]"
2024-10-09 13:06:53.566280,"[32, -3, 54]"
2024-10-09 13:06:53.597530,"[32, -3, 54]"
2024-10-09 13:06:53.628780,"[33, -3, 54]"
2024-10-09 13:06:53.660030,"[32, -3, 54]"
2024-10-09 13:06:53.691280,"[33, -3, 53]"
2024-10-09 13:06:53.722540,"[33, -3, 54]"
2024-10-09 13:06:53.753790,"[32, -3, 54]"
2024-10-09 13:06:53.785040,"[33, -3, 54]"
2024-10-09 13:06:53.816290,"[32, -3, 54]"
2024-10-09 13:06:53.847540,"[32, -3, 54]"
2024-10-09 13:06:53.878790,"[33, -3, 54]"
2024-10-09 13:06:53.910040,"[32, -3, 54]"
2024-10-09 13:06:53.941300,"[33, -3, 54]"
2024-10-09 13:06:53.972550,"[32, -3, 54]"
2024-10-09 13:06:54.003800,"[32, -3, 54]"
2024-10-09 13:06:54.035050,"[33, -3, 54]"
2024-10-09 13:06:54.066300,"[32, -3, 54]"
2024-10-09 13:06:54.097550,"[32, -3, 54]"
2024-10-09 13:06:54.128800,"[33, -3, 54]"
2024-10-09 13:06:54.160060,"[32, -3, 54]"
2024-10-09 13:06:54.191310,"[32, -3, 54]"
2024-10-09 13:06:54.222560,"[33, -3, 53]"
2024-10-09 13:06:54.253810,"[33, -3, 54]"
2024-10-09 13:06:54.285060,"[32, -3, 53]"
2024-10-09 13:06:54.316310,"[33, -3, 53]"
2024-10-09 13:06:54.347560,"[33, -3, 54]"
2024-10-09 13:06:54.378820,"[32, -3, 53]"
2024-10-09 13:06:54.410070,"[33, -3, 54]"
2024-10-09 13:06:54.441320,"[33, -3, 54]"
2024-10-09 13:06:54.472570,"[32, -3, 54]"
