,PSD1,PSD2,PSD3,PSD4
86,1.1700724982348663e-05,8.348125459626483e-06,1.8679151216868907e-05,2.2522118858845945e-05
87,1.6433450229299206e-05,1.5600663475986773e-05,2.253616575843304e-05,2.870620834804352e-05
88,1.1235021444720074e-05,2.1363493795056123e-05,1.4200500073339556e-05,1.9376638068716125e-05
89,2.6236164091737145e-06,3.992080982408524e-06,4.480368611334488e-06,1.318166174465784e-06
90,7.475631772586803e-06,4.832373551303359e-06,9.852651346220522e-06,1.1379210031518404e-05
91,4.902757022121853e-06,7.272471828279001e-06,6.081775833243204e-06,1.0724821043159846e-05
92,7.419065610938025e-07,9.414674207674428e-07,1.2454248305414004e-06,2.220948944835894e-06
93,1.4955920092542366e-06,1.7138520378355412e-06,1.338818970702868e-06,2.584030925811754e-06
94,3.095387078602887e-06,3.946514903091169e-06,3.49583499859659e-06,5.763021422794651e-06
95,1.5305172321596687e-06,1.589317061592648e-06,1.9769228071293228e-06,6.232977263595397e-07
96,6.865850636590357e-07,6.051792291664644e-07,8.315951160703718e-07,2.082653496924545e-06
97,1.0891644089634845e-06,1.4571057150818205e-06,1.354618093716268e-06,2.1723327146226304e-06
98,3.3797850332221386e-07,4.472765308436931e-07,4.022748892369631e-07,7.895572017078791e-07
99,1.8204175069031145e-07,2.113188777636725e-07,1.8681129001303505e-07,2.883509129968982e-07
100,1.740751263478099e-07,2.263923352998919e-07,2.546673156658215e-07,6.934357553605837e-07
101,8.626943718024706e-08,8.431783199182907e-08,1.238625815549942e-07,2.195469284528187e-07
102,9.165177888121365e-08,7.487851942635207e-08,1.1208876385682137e-07,1.942831444635385e-07
103,1.9330795459983161e-07,2.4037228354907545e-07,2.748306337472247e-07,5.320371266519067e-07
104,9.637830746956295e-08,7.501442926861017e-08,9.19038590365498e-08,4.5519211071226646e-08
105,3.266468345867384e-08,3.293266004290146e-08,2.7476195399923026e-08,6.49219664499167e-08
106,3.7099319310968585e-08,5.493456416125827e-08,5.202884522515863e-08,1.5717136277002517e-07
107,4.167341321171472e-08,2.58356685362541e-08,4.64716831720012e-08,3.3046092991396974e-08
108,6.565532152694483e-09,9.364284046137769e-09,8.879947620938998e-09,4.122799784835044e-08
109,1.1444601905666754e-08,1.4365768476729844e-08,1.6160875310743355e-08,4.519559006812442e-08
