,Theta_C1,Theta_C2,Theta_C3,Theta_C4
137,1458.8657359050198,1487.7683353999348,1543.2675257233473,1304.809700901419
138,3435.038341617856,3507.4477710102724,3537.9847368186283,3007.2271181604683
139,1198.5887257094923,1258.7828804291146,1272.764150489086,1070.4660594079014
140,1245.6558220777156,1257.2040869753691,1279.672170591407,1130.8787932460743
141,1255.4483355370032,1300.4975796107085,1286.5079129845835,1127.651416450836
142,2605.144059272769,2703.533214335654,2696.779493612188,2340.51513246583
143,2355.9240163939908,2437.6901424858047,2412.7551522577264,2095.4950220725
144,2794.6956262599087,2862.6104688497494,2850.219805571247,2496.4470358554468
145,1948.674187888488,2031.0160238423737,2023.637148503457,1777.1986834165382
146,1716.0402268251164,1752.1226977567533,1799.7059442075397,1507.5173580587066
147,985.6085387782877,1003.474718296204,1046.3823758097155,884.4265541127545
148,771.4563157545939,787.7255797119387,796.9521666154599,700.6792907250644
149,1085.7488427070984,1126.237532114839,1127.169894180974,971.5769063839326
150,1488.7962850961962,1525.8236305122346,1471.9005367485397,1319.680433704056
151,1489.286962501691,1517.3958167402309,1542.9976300110363,1343.4767840933052
152,1091.8960387387924,1118.2830141485792,1111.351883041096,978.5418573403944
153,1711.320607639767,1785.3019785909437,1781.6118036040011,1583.1556016331238
154,2994.5996075126104,3068.641890725944,3048.858213450254,2686.234128166879
155,1955.3719667393304,1997.1300006401543,2004.9077906138227,1720.268617179081
157,965.3732689520908,987.6696743668084,985.7217343775336,890.7376639446276
158,1879.9976700583848,1926.4979247618955,1942.9329277134368,1675.9879263231735
159,2253.025274315876,2276.106755460295,2290.652503268099,1979.274196938436
160,1212.3791569119542,1248.065028650566,1261.2644500380177,1091.0412065875207
161,1828.753011954353,1833.5868262798829,1902.266078389382,1599.7468946684564
162,2843.216697863414,2879.9634973157845,2830.6667950817623,2512.861880832052
163,2331.205599846041,2355.2684318020943,2380.446468297277,2021.421886570956
164,2514.838005410117,2609.35910459561,2548.999816348468,2235.378205709558
165,3204.9479613646354,3252.014686997505,3330.492377771222,2847.7827500926624
166,2582.726070868576,2647.6239664946083,2603.117083994669,2305.0871236293465
167,1458.9116088053204,1475.5774797572471,1486.0242338656135,1317.0210939962333
168,1339.2104186624422,1355.2648238009035,1375.7017678395337,1195.1925013051653
169,2969.905891843497,3026.4693011309187,2992.4601710041125,2644.902985832993
170,2447.226150054336,2495.9069234229128,2503.4843834184862,2207.817484731401
171,2578.3954426755645,2636.0486697556225,2626.7211584416,2349.4276923727484
172,1822.1287393700788,1853.971855387273,1818.7510278176687,1670.6971643582838
173,1105.261537921281,1130.2536641805475,1130.277518048815,1018.1910449551278
174,2220.803580757424,2251.6632796575386,2142.0324017657304,1974.2290338587168
175,1557.3621493017308,1607.5682072178552,1630.0551083484645,1428.9898667753337
176,1770.5777023361277,1810.2828477039616,1815.939690446325,1577.7791003250263
177,3616.631907157007,3585.052508775116,3627.482809519278,3184.775000723035
178,1848.9419838860283,1897.2420737638747,1888.6156049187732,1621.729748722059
179,1698.075399712612,1762.999334924024,1737.324811903071,1516.0598928374518
180,2114.346208877627,2111.0702942353323,2119.3586777284813,1909.2734868032528
181,2492.463294913274,2570.7392345468925,2647.3951703349303,2156.807904622784
182,2065.76375659687,2100.8748478496937,2128.8658313673554,1822.144229109763
183,2766.7166967739217,2822.9592857151383,2794.2711769118905,2424.6442324744085
184,2956.189215765593,3043.196843373772,2899.7618210730284,2697.4052338017123
185,1876.8141244790108,1933.9720348272808,1846.7276636935007,1646.9956476025611
186,2185.144873458151,2208.5106486369086,2210.141224891801,1963.571116453258
187,2501.628032833655,2581.664024142309,2586.132076901547,2186.8451706216774
188,3374.388821518536,3490.0545450280515,3455.3154363606795,3039.6598855941656
189,3801.5595585869146,3869.236587449423,3826.94101316782,3309.794159830063
190,4795.401779587761,4908.730843757582,4928.930222709056,4240.829882260089
191,2571.938367168667,2637.648653623597,2651.7610819920183,2233.9061714216778
192,894.4759082423025,892.1283041036991,883.8392816018504,790.4923518457095
193,931.6588729940448,951.0625233562396,930.4251914936405,829.3461336094449
194,1215.7098852157785,1266.0694618046348,1242.924025515033,1074.68119233249
195,1859.935103636125,1880.7183934943707,1871.001815857006,1657.0837607209469
196,1079.3153303910226,1098.8163827069434,1112.123433267742,983.9658421882856
198,1811.3602908120893,1878.008286453009,1783.134094726118,1652.0510332663955
199,3157.428036859881,3152.3750508759395,3197.669426160202,2806.585514512368
200,1453.942016380265,1487.0160891422029,1419.7679229153173,1334.4690990797153
