,Delta_C1,Delta_C2,Delta_C3,Delta_C4
107,39531.5585907984,37114.6496022236,35321.73717130779,34977.82295730161
108,45409.471171607605,46926.05696657032,48202.63266808236,40649.89017289947
109,43846.96171711876,44087.12594066037,43807.87401787732,42949.0152366506
110,45894.250068977766,45389.92432290521,45210.68362307009,45603.917228537786
111,47921.79496093797,47816.84993184514,49290.02928862062,48826.656279655166
112,49522.63337523538,51546.288570422505,52529.848867550136,51972.21764126865
113,52477.53536245901,51479.4061177348,52169.83270147415,54542.87488563794
114,57132.33028184372,58152.54287209029,59428.35592717493,61475.31740683676
115,62739.20685221579,63861.11712768116,63252.54765953832,60660.69681121514
116,62982.59673871818,62914.03853229633,63873.36980878756,64643.066990873616
117,63505.50333293419,63873.62437284617,65138.94515244267,69537.381081295
118,70480.82933333129,70011.74793563258,71698.42281418903,70048.86420705337
119,73707.62132583815,73375.46418179343,74673.20010645455,73168.23230310866
120,75239.30255106017,75286.68941121372,77209.44344947934,78602.52238292476
121,85163.61729945373,84240.0876198792,81078.33102402727,75783.2583206834
122,85864.56395583934,85964.05190626273,88064.5379819658,89569.93374052926
123,86192.72270866351,88193.67851181027,90368.47885543124,94246.6410308298
124,89433.03325773886,89886.64788466199,91797.91309500393,97164.14738308857
125,90896.93296773054,96225.08637070586,99608.9336582084,106809.764184306
126,99356.61621590093,100986.54338556057,102745.25343701692,102916.15338756824
127,96038.54996290148,101101.64207096798,104081.89636488107,117170.5447845038
128,152871.5464820647,156870.9251681399,150396.93693080504,149136.7568569524
129,110034.5810834697,112981.92085338518,114731.2752667474,131059.0846792044
130,115822.49891348471,114006.06899211176,114237.85594586607,122212.87767060816
131,121306.45837803138,120972.5038968108,120825.66180856194,126070.39974463829
132,124115.26174853276,125550.82384582184,127628.87846406383,131252.42485097842
133,129774.97451444832,129780.95931260908,131130.27788748374,133987.22261085617
134,134015.73211861364,132994.5255269071,135526.73675331107,140094.67189689004
135,138525.02505584375,138804.42424437145,142914.5296827421,144527.58903487807
136,145015.5126543435,145416.12904149207,149332.1575519667,150457.37866456134
138,336871.0151320022,348073.3888422758,321364.2265950368,197129.67581182
139,157912.2973906464,157436.84941334155,159131.97993914768,169044.94652831613
140,172355.29982874318,173376.34336452634,173908.311559523,172602.3957341443
141,171021.96294004968,171093.36482756588,172939.2029534515,174469.87179227153
142,180231.6566371871,179438.9234318401,181003.69208044783,172524.71841299915
143,182800.1049121445,182880.79043145885,184814.5214136462,181808.5902867803
144,191538.44103796015,191959.95440547596,193177.7036569211,176402.24687027934
145,196939.46043040455,195761.32088095832,199437.01801663925,182907.89678101716
146,169426.03721877682,169635.94047026944,170775.32142204663,154687.5992925519
147,209866.9011121967,204407.3931745872,200126.5148685075,211728.5140020312
148,132242.80757209993,133322.49914058938,135362.0653738198,139469.38746302927
149,185855.23174442255,185233.07296506767,189386.0022361629,191104.4583034787
150,228299.1371446464,228252.44458582957,229867.50736478576,237727.70092963785
151,197947.93767519173,197270.84274244373,201956.2182214314,201326.97907092643
152,246459.53853081132,240356.3572646462,239888.39014713137,246971.93227895527
153,250922.10863186716,253604.7659106791,257725.27633406964,247086.567941574
155,1024.680004220413,1082.769012782787,948.3276843186248,975.4231707487422
156,322.14286824347363,412.8256838068172,343.0944499376186,376.0918154088332
157,4364.896736565649,4774.2224692293785,4050.9821504104016,5536.485480742691
158,3434.249531194232,3705.2087057962353,3345.223192983892,3138.573078362094
159,2481.267622965552,2613.861620877268,2424.0624323399256,2072.4594950151454
160,3025.8227889290206,3098.407872779748,2809.114077308017,1759.6321380918253
161,2768.6394922043787,2858.01106769649,2945.3883251196257,2452.51923911137
162,3119.331863223965,3402.1519846310844,3543.016912929821,3364.2855391285675
163,3880.5949484353455,4517.410468489833,4681.908950199451,5724.7141571385655
164,4639.1203830382565,4620.642470484888,4536.301390949448,6106.096336905101
165,7997.4670573393505,8177.768305254733,8085.062498628135,9542.602742140049
166,6065.772312581231,6607.743558829279,6540.922445592096,7493.958594289763
167,6845.430065665914,7230.772595829366,7746.230559328487,8669.735491557798
168,8816.722565673692,9001.293861583936,9699.78355293814,10521.679571236156
169,13630.186415644916,13944.438484348484,13486.995954825814,14934.178226296546
170,9908.974142413976,10073.731605144632,10506.74614009688,13062.37190642262
171,13129.19812436823,13861.123455652074,15073.795028749091,15157.582782202971
172,14495.587886833657,14818.19408498338,14514.211354266556,15942.225067811736
173,16860.583881307444,16506.1940779489,16514.157253588033,16229.908615256509
174,12490.288375036804,13226.559713691378,13017.491618393728,14362.030007870328
175,20295.3866241108,20919.38253188835,21578.9373437537,22098.58532191856
176,22211.44608915349,22241.65966131671,23570.71319038519,20486.29636880522
177,24062.23485627737,23570.70441882203,25260.3967166999,21425.144293313475
178,24436.021273889597,25739.227164934146,25956.47848176383,26591.90499768429
179,27736.39967981607,27733.750090360398,28592.335122599125,26411.884957756727
180,32648.4451488959,32913.57906678154,32341.93363211936,28591.09866955776
181,89085.25552949085,92909.29229913824,87836.03864504912,26543.36794116468
182,42404.87905887835,42279.15316108644,41106.35441925231,34513.89637505487
183,41111.612802386735,44305.17209398582,43549.06718397656,30030.89365766056
184,42589.8818715143,43296.74467825392,43618.357944147,35024.13000610279
185,44300.69187388151,42401.137439884544,40888.62637901335,42971.78013654273
186,43543.88397388152,44498.475174527935,46211.56570433601,52043.80254151517
187,52131.13362561108,51796.94080271718,53117.60698212718,49695.29703669268
188,70865.92756128841,72847.69757218164,72445.33691238919,61196.892863362
189,62725.816153559645,64050.90533700477,62881.8303352502,67046.94509244584
190,64234.14205029653,65049.52990402554,65946.00822875345,55516.82200690507
191,54802.81670540096,60357.18682111239,62504.94904567204,70334.74675512857
192,63968.420349028725,64246.90385348383,67055.49755153013,66039.99479648254
193,66207.07736906203,68115.1220871386,70649.68937689041,68471.99669953385
194,51593.87663083383,50181.42650956704,49846.88967203104,51116.50038446482
195,77717.85580448026,78018.28082748075,79294.79389247524,76018.93602461259
196,78636.95247684262,79758.07380174978,84710.97062188844,83044.49051575939
197,85868.40125159512,86312.84054625592,89773.74884634011,75530.67190640395
198,90376.57953841017,86919.83369781569,85085.43188901254,83877.22765349747
199,90725.90998182778,89867.29033567272,94182.08826334268,92139.8472374659
200,94551.02977220116,92548.4965394561,103954.77392799236,100171.28799496566
201,100837.90943964642,100372.38295007223,102841.2516859971,97531.09938466136
202,101692.36047011398,103857.5484245391,110074.52435967144,112351.03783635944
203,109776.29130333956,105360.56997063996,103732.16757634292,117054.4218061488
204,113171.90193971698,112796.64969180129,113521.50639785764,123973.981890885
205,117149.83232448428,115210.56932674316,117014.6808493591,126252.95616557752
206,122275.73323169952,122813.75705405574,125012.64951410575,132674.23947996815
207,176059.25643429655,181698.8128182339,176198.86449012553,209932.64002972023
208,262740.0897991148,270355.2201133056,253760.770946092,133909.65032535617
209,134404.5452503516,133563.77134218632,135819.04101158035,147318.70118635913
210,142363.82383163334,141770.18263888103,141815.46381132866,147019.3974231998
211,141949.79108547646,140120.89171727115,143799.01153205818,158293.23699852175
212,158651.13149236864,157549.99032990533,161936.55601942248,136631.27275485432
213,165653.26483194833,163958.80659360424,164716.68914597,143179.41235684635
214,162501.5733098896,162776.35636408476,162436.8788795121,163378.9955102441
215,172215.53890846702,172290.60825481982,175716.32883843433,165201.1329132639
216,178588.14518027633,180816.0626897301,184841.41389951904,157118.56091534076
217,212101.66480597897,213255.81560229356,210411.70102737457,194972.2404538553
219,192355.27433632792,191432.1947301548,195927.58901980688,186852.04084764747
220,196382.01419680423,195343.15010869375,198532.5684952832,192586.6257094736
221,206900.55377843996,206230.8718703905,208056.88207118877,196027.8150411208
222,209564.0013997001,209474.46719284676,212013.64594140352,203744.02694366773
223,215227.06556957783,215622.8058342312,214147.19733716772,210968.9023218704
224,215936.9504529645,215590.7117876925,218731.33611368047,221156.33857033364
225,252516.88348124144,253053.64245086705,252856.7564292116,200874.642812116
226,234832.30169933932,234458.0023473158,236178.70594165009,224922.59380578424
227,238188.03701618413,238023.06574302865,240794.4731270653,234264.2664910444
228,246272.2927783313,246141.387904926,248524.4679984506,240490.37059307712
229,242579.82518357213,241846.9232797609,244222.09061315743,261321.7316944012
230,262314.6440945139,262795.08709418,264817.4027262093,268295.1594531169
231,923.1678869388862,1022.8874790282252,853.8473652848609,924.4421781985016
232,381.3707463450629,374.027111761986,384.4865332901188,509.2368200245612
233,613.1332631290189,625.1449644186878,670.1098468659009,359.7549949122134
234,696.0176350876146,681.8730638774837,710.9380706309778,415.8052871470304
235,1221.3417224543218,1214.5313434965249,1261.4414957804163,554.0848213509685
236,1239.1712726997646,1218.346320525579,1339.049768436871,815.4230603853113
237,3321.651115345055,3495.466665709303,3146.503972620369,2435.715351580986
238,2179.4161519385,2184.1048205123234,2105.0610187111542,2026.529468290852
239,3029.181562904624,2840.141347440096,2963.3081508851265,2653.6285619735017
240,3548.927213812221,3492.654974793674,3590.2695768434464,3384.94112229591
241,4504.501234415193,4566.836736949954,4712.322516608054,4200.461699882534
242,5737.783164136204,5774.465096586067,5446.0903759734,5580.472620589048
243,5613.478529373463,5770.910191085143,5582.739504475188,9827.078106952178
244,8048.5585313461725,7555.35303450217,8071.838245343526,7971.885131168169
245,7944.245128188262,7870.5682072544,8692.57981072406,9900.577607152818
