,Beta_C1,Beta_C2,Beta_C3,Beta_C4
70,5053.381887386682,5372.821903379304,4589.427799664933,3909.109685618084
71,4284.547451632267,4520.852718597486,3845.493253319288,3278.5808283706588
72,2783.884482470248,2930.237094531575,2517.838263446336,2085.789205672984
73,2432.057964260709,2550.275450333971,2163.389890646654,1843.545428909088
74,2742.10754193458,2899.303684602213,2466.120319203374,2076.852358364468
75,4196.108577629077,4450.622749609206,3795.4006258458858,3209.2058615572278
76,4451.502121627936,4705.232479647991,3987.608401678316,3364.7980600057463
77,5143.6152707627525,5511.158404084117,4697.775259600693,3967.5443566593335
79,3811.846072776927,4019.7817199042206,3447.815213636206,2873.118775916728
80,2716.758488138216,2827.7047758252534,2433.7629518597355,2057.05939650461
81,3463.516447667735,3703.093738640389,3136.6644394102304,2607.0988339733394
82,4698.621495431581,5009.591566155975,4279.743748342809,3550.5654331767964
83,5821.249745802099,6185.555416665316,5282.777268317635,4410.383352121481
84,3547.4095411677467,3746.1081062536023,3233.7241426454275,2727.80016593087
85,3601.96687404994,3833.722504698417,3272.8686139141114,2725.6115995511445
86,3436.7901368418693,3594.464063992694,3089.6418184712006,2618.139978819845
87,3123.628092681288,3347.4631951894166,2850.5514048971813,2422.5534411375143
88,4810.640824387427,5055.6201607206185,4343.228532109956,3797.282082513727
89,4309.189223025446,4543.556891709331,3886.311655583163,3256.4106363172004
90,4711.228416628544,5001.435427786936,4285.876354803732,3617.3024299444337
91,6007.767434630743,6358.86334481487,5442.269779490478,4654.598009978378
92,4260.873725476103,4559.606924085359,3881.300333538012,3262.645060386061
93,4876.985900079879,5161.857737868429,4391.352842516925,3727.9179912004593
94,2188.029516863184,2311.2887225251143,1984.4721469591195,1669.3045492328756
95,6376.291017567295,6673.8382747508285,5736.305193825036,4927.140149285583
96,6179.899143969226,6572.859840278136,5604.285993335307,4650.526343656551
97,4194.077270515239,4422.831733069228,3789.634821172501,3170.2748743502584
98,3056.74435856714,3220.073128379191,2736.670313244106,2360.5967510026016
99,5564.348752385236,5859.505077741516,5037.084396948513,4253.143617175728
100,5553.2636825268855,5873.100380009224,5054.870127939141,4188.857678648574
101,2321.321143309351,2453.824381926585,2074.647590195928,1770.3428654976933
102,3115.8639228107427,3247.56090549523,2788.250342844518,2385.044131236147
103,3249.2453425333124,3412.8628953826747,2939.4554834690007,2451.461584885698
104,4234.34924007764,4493.611270535892,3821.225102475129,3181.4193114665686
106,4755.383886956931,4976.309307252045,4257.577659831192,3617.27804180476
