,Delta_C1,Delta_C2,Delta_C3,Delta_C4
112,41729.7806178879,40812.807826897006,44568.49079743756,43665.633631735
113,44373.41795131405,43481.18641071633,44008.30772426367,45621.875749926425
114,47130.23680830911,46153.59975441576,48355.18512467864,48710.82811376381
115,49788.81553432489,49058.6081653528,131797.5750300922,142895.46880110563
116,52602.18836528256,51725.55106195975,57306.603474333104,54161.23063095164
117,55295.74632662002,54772.35407525822,60590.01368929915,61456.27462493261
118,58675.760555422974,58385.65302891819,58646.41927409402,58737.48293351721
119,61395.30288787856,60782.76421432143,62042.421948721225,64074.03461067809
120,64817.97692191551,63784.92828515301,67477.25261573725,66652.74687674499
121,67931.7308529629,66747.96940346254,67470.16646593192,67268.04407839372
122,71402.2889094847,70840.72592319998,72744.37713812714,72878.49137134489
123,75039.15923758951,72841.80991637796,79002.56239064355,78779.09071392262
124,78361.09429893151,77039.99719725213,81454.96436535349,81032.87507515615
125,82091.7061745261,80178.52310667936,85203.83950671314,85671.17491534505
126,85653.27308660393,85323.14290588,86243.6558757462,86999.11179382954
127,111316.91339736793,110118.53324967105,125351.1184920047,126126.83870291393
128,93025.83057460652,91696.69365688048,84911.98449552983,84682.24039778522
129,96997.82691787936,96023.04226613556,100119.11853196446,99404.1927075468
130,101042.75095650271,100310.075504491,100717.56467365815,104980.5890095628
131,105136.66880945965,104004.17953885856,108310.7642530229,108017.1877488801
132,91125.32465113356,89486.06867419329,91380.71942125664,91054.8122122064
133,113854.5577414704,113466.77965963016,116123.96838029736,114459.78130323914
134,117916.28416799994,119488.21626713722,146606.75180340954,124000.5112338888
135,102291.97577472296,101630.44067962264,129630.31833073664,114462.36798636553
136,127621.63301487958,126770.9071803722,131602.1847164602,127868.66055280546
137,132436.5301028737,131216.6156427575,132749.32766370111,131303.44271782113
138,137236.84069203085,136647.10159185794,136029.0707256103,136430.3067490824
139,141909.36355938867,141253.35695224136,143969.41264184628,143695.24570611582
140,146807.20893625813,145626.11729826016,153723.92324411057,153693.23265628077
141,125528.82007541838,126469.06108331271,128770.88969576255,127916.65673517458
142,157522.19097602268,156273.06619728287,174271.37782459694,175868.67180402257
143,202575.7035341078,201779.8728309992,198965.2415969756,198445.6078827885
144,138982.35787126364,138638.8333470929,141866.78554068503,141808.17023711486
145,172969.94210881335,170147.97384457907,182542.71246481384,191798.08661591733
146,179227.54999620956,178674.50926418335,200044.9369377692,198300.842031743
147,184099.56594259085,184775.04733054983,176992.68521893237,179461.31418127898
148,190679.7185993197,192258.33860124912,240579.8037993306,251531.97105235377
149,195871.59133314565,194861.88150223324,188129.5910602042,235263.41833464176
150,202735.0895696642,199848.051361178,212797.6981811511,207499.93850605533
151,207888.9287294839,205694.63901913716,212424.4800260249,211889.8507054724
152,213635.65618153109,212463.87915453277,219896.6323155253,219955.05311765755
153,219524.14393271576,219279.95218506883,218825.60878474868,220759.95623962235
154,225623.26576997756,224310.14245388,225395.9271488256,223669.95639659237
155,231413.2556045828,230258.9850052981,249341.9258026068,249115.41958965387
156,237639.33343408804,236467.44464445696,269325.57153743785,269888.5271903089
157,246524.64022041,231506.7305199901,317846.02113034186,346303.392836241
158,249799.2758045032,247860.9903140983,267678.61191475054,231213.59349478068
160,20.08479487444977,12.214328094831554,789.3380270199509,844.5804535288548
161,67.99155487177676,43.26275254045835,938.213065996255,1035.1588744527617
162,190.36825195297277,159.92909042001313,1151.0414960138244,1307.7186675202447
163,355.9180228363504,325.000146131168,579.0130862313578,554.0343130196914
164,641.568740636435,552.8727839416576,1192.753055061239,1206.540521609881
165,978.5937559403,961.2627138682948,1633.656566925195,1780.2538261265386
166,1410.5110523740514,1352.5501301286915,2586.878837293597,2468.7724092958456
167,1902.9340034816848,1884.0500882486915,2402.3875571286844,2347.2771174315217
168,3233.699418991867,3060.3834619786003,6358.723256628267,6812.356005437445
169,3177.5138108565643,3035.2046457128445,4520.298227487925,4677.956864172505
170,3792.780271879647,3736.284429194024,4821.438539761287,4871.953759250789
171,4654.772761272489,4517.955632048654,6004.533082594627,5932.055448021105
172,6819.990318112115,6749.518550292652,7653.2380423734785,7938.869421596805
173,6457.0617361881405,6243.062487873985,7468.104521553541,7363.325245140123
174,9512.839934224696,9088.850142002022,10975.2479974411,10755.9308186345
175,8600.003412117894,8340.660593769424,10014.75238785581,10428.253745652211
176,12357.787238052171,12989.569944224037,25882.96256449217,30346.16920643384
177,13807.026067469908,13116.451017975916,20209.003101579547,11301.368941694069
178,12326.388827778666,12163.999546429735,13190.742583316836,12798.304218856854
179,17055.32186697473,17126.52672147458,24556.10643690116,26138.46630373597
180,15202.64231373953,15043.042521077612,16623.475721245235,17268.451668213067
181,13937.709544833437,13663.453889063792,14393.594006483265,14978.838816204548
182,18731.24867746904,18599.76045441909,19549.04070233141,19829.366082893408
183,25366.467866185056,25591.645233774405,27869.99792180885,28523.07518087324
184,18571.020480042524,18243.988852500832,20016.371031664952,20488.504646797723
185,24564.863920216663,24482.249959979614,32604.82213360739,34926.706709763406
186,26525.92830170325,27005.67152549932,23493.89849294897,31973.35779002993
187,28740.27132598436,28985.15289012972,51585.21841942252,45621.511215160746
188,31015.594101476865,31959.596187248284,33475.57033094556,57176.041752246536
