,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
105,19206.786933105104,20817.232323499036,20059.85280166953,19781.723056995263
106,11772.526350761014,12713.418269796588,12407.098727128165,12074.669562010427
107,15240.591264635195,16371.199237130084,15994.96817146056,15520.675838814648
108,12278.29923497363,13247.409409848404,12801.65067104907,12516.758745719488
109,9478.572610303418,10263.14666768178,9872.793711137108,9697.688416460916
112,9234.86473517204,9943.823833405944,9683.602740109129,9435.538965493328
113,8647.298030541993,9385.12340164094,9042.645142209034,8791.82155878672
114,11493.529915613864,12374.506554444435,12086.606864081024,11754.569647893006
115,12321.39637889204,13340.770896444175,12930.32255934325,12697.134358844984
116,15205.238344035131,16480.819662776077,15854.87278728734,15473.119660029306
117,19067.469430720324,20501.199344937893,19718.630349862804,19211.591341533614
118,19659.38963567704,21382.73398926404,20337.253839689944,19960.59260524296
119,11688.368154842032,12570.86223557737,12300.31678334581,11947.505488681996
120,13739.253577635684,14836.761217307989,14088.139773101371,13842.685052214098
121,14952.739846920853,16046.05222884566,15625.92755514245,15166.454780807402
122,11456.8063143306,12370.258288094772,11922.73029668351,11640.002390688413
123,13071.023084915028,14178.863162675454,13667.822367370032,13372.82030851884
124,7734.103949809671,8348.045887338247,8076.719204724613,7872.01867797631
125,8278.889679110343,8961.680538947257,8642.012141298128,8464.145663708534
126,5141.366560905673,5561.947949837918,5400.57459931039,5251.39196340313
127,13146.825797967864,14155.70272175065,13733.749760578035,13310.59474122644
128,7978.441570194458,8650.753727063757,8267.503751448356,8161.657179437612
129,11374.264717999466,12242.26112463458,11723.146818646848,11571.01064746882
130,12593.56753941425,13576.002859133438,13101.688347663574,12741.837672747564
131,7660.274944386098,8205.131358577519,8050.064548334299,7726.626688701208
132,10985.009805623533,11848.07016128222,11381.44614388448,11073.76207469902
133,13275.078907964427,14238.456297497114,13886.957786810875,13445.93441146764
134,13410.09043362582,14309.236747834952,13987.09714577094,13487.31594305695
135,11150.201745948314,11936.0107527334,11666.154621183052,11296.24801235761
