,Gamma_C1,Gamma_C2,Gamma_C3,Gamma_C4
92,35.356127203190326,37.06807034114647,37.43227097757525,35.48909755985508
93,17.891253201137612,19.023741580151377,18.811895552057678,17.86780582315502
94,26.204998325678872,27.74575503355609,27.83489149099433,26.0120708646384
95,24.58921301233537,25.421008968176885,25.17321223021952,24.44514844828108
99,28.349961390247756,29.956201483007007,29.568081282168603,28.07893455015753
102,33.95685794042953,36.40511828876721,36.8410642354623,34.641231641628764
104,41.7096097725779,43.07841131972669,42.94934690139249,40.14836735826898
105,27.41848556563048,29.160800723786785,28.935137832077768,27.4307221496598
106,20.713038288397623,21.559777255309804,22.033398800329064,20.17242200799583
107,24.531019363857293,25.265135503767915,26.15914227629239,24.11263499794897
108,26.22005517662513,27.871467524306883,28.72657687849635,26.4824396097469
109,45.77274359040633,48.17103876913037,47.45647946565046,45.54607061256686
112,21.863000460325377,22.975077867292672,22.736232152471175,21.445092324319923
113,22.49079151226833,23.069788501468317,23.21489420358789,22.07295131724816
114,28.43238460153364,29.76815489803008,29.601647316624344,28.03455838568915
115,37.15220449234111,39.28128414160987,39.18842489633278,37.00749476836035
116,28.53024294258652,30.1736512043244,29.86768932564065,27.72145175911443
117,24.34976940451143,25.849459732129382,26.019700167238067,23.888355954537925
118,51.00471417143386,53.62038284648462,53.85416624951002,49.936933808970565
119,29.427556607740083,30.81667286201897,29.554446599609136,28.585424874086804
120,42.94503282999178,44.92392580436418,45.81697776198681,43.24166097840145
121,25.92512697565792,27.421218205514585,27.558791711480715,26.181347521219333
122,20.246848621349685,21.83959143480453,21.762047827729795,20.804462891160917
123,37.61387291400568,39.65891434871792,38.28971470279608,36.773032535321256
124,28.04698691407659,28.765527702839996,29.47121051126131,27.312359268541712
125,30.222715407369236,31.57119625238008,30.44831331894332,29.150329842893395
126,33.45226868190375,35.11764164916429,35.36048572558519,33.00855184920729
127,27.40206776202898,29.093607148520302,28.493032329195607,26.90363494275192
128,48.92875929369817,51.54303493857024,50.34020201714892,48.27837682063252
129,24.38027230350798,25.72705048643147,25.881347408796188,23.910916137140163
130,28.201381400735357,29.36587284543309,29.71916403577023,27.661155084985065
131,21.77923244388769,22.66288315935076,22.71295437247525,21.196952783707587
132,32.996622747425505,34.653303263117,34.42310929564062,32.85366574147469
133,20.872376780151477,22.18935982326992,21.92128160395188,20.678283394413494
134,48.10417620909651,50.371357771455685,50.139403881704006,46.99450303471461
135,29.3701567325586,31.151178876894186,30.78242511546453,28.9955711783324
136,32.729323416186766,35.030082374900935,34.47887191836614,32.54310046491099
137,24.477406469556,25.654973220317142,25.583534361705524,24.08840517004999
138,30.949427765829395,32.59242232908648,32.656070014884904,30.378955817634367
139,44.55067532049303,47.29073318995113,46.62992417503364,43.69033340737647
140,37.16305620859341,39.57865970042096,39.48869772567504,36.80451895737221
141,31.890958978131312,34.03844539915644,33.24296239505862,31.590626290496328
142,25.31759463009709,26.65485867172743,26.785725636171907,24.68138954622109
143,44.65905581913944,46.83242073674377,46.56922046406139,44.01491418868315
144,17.98954971883182,19.23577016182309,18.719794763668435,17.74872478128571
